代碼,公司名稱,英文名稱,市場,產業,上市日期,網站,主要產品
"0050","元大台灣50","Yuanta Taiwan 50 ETF","上市","","2003/06/30","no website","ETF Products; Investment Funds; Financial Products; Asset Management; Investment Solutions; Fund Management"
"0051","元大中型100","Yuanta Mid-Cap 100 ETF","上市","","2006/08/31","no website","ETF投資; 指數型基金; 證券投資"
"0052","富邦科技","富邦科技 Co., Ltd.","上市","","2006/09/12","no website","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"0053","元大電子","Yuanta Electronics","上市","","2007/07/16","no website","ETF; 金融商品; 投資"
"0055","元大MSCI金融","Yuanta MSCI Taiwan Financial ETF","上市","","2007/07/16","no website","ETF; 指數基金; 金融投資; 證券投資"
"0056","元大高股息","元大高股息 Co., Ltd.","上市","","2007/12/26","no website","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"0057","富邦摩台","Fubon MSCI Taiwan ETF","上市","","2008/02/27","no website","ETF Products; Investment Funds; Financial Products; Asset Management; Investment Solutions; Fund Management"
"0061","元大寶滬深","Yuanta Shanghai Shenzhen 300 ETF","上市","","2009/08/17","no website","ETF Products; Investment Funds; Financial Products; Asset Management; Investment Solutions; Fund Management"
"1101","台泥","Taiwan Cement","上市","水泥工業","1962/02/09","https://www.tccgroupholdings.com","Portland Cement; Ready-Mix Concrete; Cement Clinker; Specialty Cement; Building Materials; Green Energy"
"1102","亞泥","Asia Cement","上市","水泥工業","1962/06/08","https://www.acc.com.tw","水泥; 建材; 混凝土"
"1103","嘉泥","CHC (Jia Ni)","上市","水泥工業","1969/11/14","https://www.chcgroup.com.tw","Cement Products; Building Materials; Construction Materials; Cement Manufacturing; Material Solutions; Construction Supplies"
"1104","環泥","Universal Cement Corporation","上市","水泥工業","1971/02/01","https://www.ucctw.com","Cement Products; Cement Manufacturing; Building Materials; Cement Distribution; Construction Materials; Cement Solutions"
"1108","幸福","Xing Fu Cement","上市","水泥工業","1990/06/06","https://www.luckygrp.com.tw","Cement Products; Building Materials; Construction Materials; Cement Manufacturing; Material Solutions; Construction Supplies"
"1109","信大","Xin Da Cement","上市","水泥工業","1991/12/05","https://www.hsingta.com.tw","Cement Products; Building Materials; Construction Materials; Cement Manufacturing; Material Solutions; Construction Supplies"
"1110","東泥","Taiwan Cement Corporation","上市","水泥工業","1994/10/22","https://southeastcement.com.tw","Cement Products; Cement Manufacturing; Building Materials; Cement Distribution; Construction Materials; Cement Solutions"
"1201","味全","Wei Chuan Foods","上市","食品工業","1962/02/09","https://www.weichuan.com.tw","Soy Sauce; Frozen Dumplings; Dairy Products; Beverages; Canned Foods; Seasonings"
"1203","味王","Vedan International","上市","食品工業","1964/08/24","https://www.vewong.com","Food Products; Food Additives; Seasonings; Food Processing; Food Manufacturing; Food Solutions"
"1210","大成","Da Cheng","上市","食品工業","1978/05/20","https://www.dachan.com","Food Products; Food Manufacturing; Processed Foods; Food Distribution; Food Solutions; Consumer Foods"
"1213","大飲","Tatung Food","上市","食品工業","1981/04/10","https://applesidra.com.tw","飲料; 果汁; 茶飲; 機能飲料; 包裝飲用水; 食品"
"1215","卜蜂","Charoen Pokphand Enterprise Taiwan","上市","食品工業","1987/07/27","https://www.cptwn.com.tw","Animal Feed; Poultry Products; Livestock Products; Chicken Meat; Processed Meat; Food Processing; Husbandry Services; Bulk Feed Materials"
"1216","統一","Uni-President Enterprises Corporation","上市","食品工業","1987/12/28","https://www.uni-president.com.tw","食品飲料; 乳製品; 速食麵; 烘焙食品; 飲料; 便利商店"
"1217","愛之味","AGV Products","上市","食品工業","1989/10/28","https://www.agv.com.tw","飲料; 食品; 罐頭; 調味料"
"1218","泰山","Taisun Enterprise","上市","食品工業","1989/11/11","https://www.taisun.com.tw","飲料; 食品; 罐頭; 調味料; 食用油"
"1219","福壽","Fwusow Industry","上市","食品工業","1990/12/01","https://www.fwusow.com.tw","飼料; 食用油; 麵粉; 農畜產品; 食品原料"
"1220","台榮","台榮 Co., Ltd.","上市","食品工業","1991/11/20","https://www.tairoun.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1225","福懋油","福懋油 Co., Ltd.","上市","食品工業","1993/09/27","https://www.fopco.com.tw","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1227","佳格","佳格 Co., Ltd.","上市","食品工業","1994/04/09","https://www.sfworldwide.com","產品製造; 產品銷售; 產品服務; 產品開發; 產品應用; 產品貿易"
"1229","聯華","Lian Hua Foods","上市","食品工業","1976/07/19","https://www.lhicholdings.com","Food Products; Food Manufacturing; Processed Foods; Food Distribution; Food Solutions; Consumer Foods"
"1231","聯華食","Lian Hwa Foods","上市","食品工業","1995/11/02","https://www.lianhwa.com.tw","食用油; 麵粉; 烘焙原料; 調味料; 食品原料; 冷凍食品"
"1232","大統益","Ta Tung Yi","上市","食品工業","1996/02/09","https://www.ttet.com.tw","Food Products; Edible Oils; Food Processing; Food Manufacturing; Food Distribution; Food Solutions"
